Tempo, Tensão LDR 1, Tensão LDR 2
0,1009,1010
50,1009,1011
101,1008,1011
151,1008,1010
201,1009,1010
252,1009,1011
303,1009,1011
354,1008,1011
404,1009,1011
455,1009,1010
505,1009,1011
556,1008,1011
607,1009,1011
657,1008,1010
708,1009,1010
758,1009,1010
809,1009,1011
860,1009,1011
911,1008,1011
961,1010,1010
1011,1009,1011
1062,1009,1011
1113,1009,1010
1164,1008,1010
1214,1008,1011
1265,1008,1011
1315,1009,1011
1367,1008,1010
1417,1008,1011
1468,1008,1011
1518,1009,1011
1568,1008,1010
1619,1008,1011
1670,1009,1011
1721,1008,1011
1771,1009,1010
1822,1008,1011
1872,1008,1011
1924,1008,1011
1974,1010,1011
2025,1008,1011
2075,1009,1011
2125,1008,1011
2177,1009,1011
2227,1008,1011
2278,1009,1011
2328,1009,1011
2379,1009,1010
2429,1009,1010
2481,1009,1011
2531,1009,1011
2582,1009,1011
2632,1009,1010
2682,1009,1011
2734,1009,1011
2784,1008,1011
2835,1009,1010
2885,1008,1011
2936,1010,1011
2987,1009,1011
3038,1008,1011
3088,1009,1011
3139,1009,1011
3189,1009,1011
3239,1009,1011
3291,1009,1011
3341,1009,1011
3392,1009,1011
3442,1009,1011
3493,1009,1011
3544,1009,1011
3595,1009,1011
3645,1009,1011
3696,1009,1011
3746,1008,1011
3798,1009,1011
3848,1009,1011
3898,1010,1011
3949,1009,1011
3999,1009,1011
4050,1009,1011
4101,1009,1011
4152,1009,1011

4202,1009,1011
4253,1009,1011
4303,1009,1011
4355,1009,1010
4405,1009,1011
4455,1009,1011
4506,1009,1011
4556,1009,1011
4608,1010,1011
4658,1009,1011
4709,1010,1011
4759,1009,1011
4810,1009,1011
4860,1009,1011
4912,1009,1011
4962,1008,1011
5012,1009,1011
5063,1009,1011
5113,1009,1011
5165,1009,1011
5215,1009,1012
5266,1009,1012
5316,1008,1011
5367,1009,1011
5417,1009,1011
5469,1008,1011
5519,1009,1011
5569,1009,1011
5620,1009,1011
5670,1008,1011
5722,1009,1011
5772,1009,1011
5823,1009,1011
5873,1009,1011
5924,1009,1011
5975,1008,1011
6026,1009,1011
6076,1009,1011
6127,1009,1011
6177,1009,1011
6227,1009,1011
6279,1009,1011
6329,1009,1011
6380,1009,1011
6430,1009,1011
6481,1009,1011
6532,1008,1011
6583,1009,1011
6633,1009,1011
6684,1010,1011
6734,1009,1011
6785,1008,1011
6836,1009,1011
6886,1009,1011
6937,1009,1010
6987,1009,1011
7038,1009,1011
7089,1009,1011
7140,1009,1011
7190,1010,1011
7241,1009,1011
7291,1009,1011
7342,1009,1011
7393,1009,1011
7443,1009,1011
7494,1010,1011
7544,1009,1011
7596,1009,1011
7646,1009,1011
7697,1009,1011
7747,1009,1011

7798,1009,1011
7848,1010,1011
7899,1010,1011
7950,1009,1011
8000,1009,1011
8051,1009,1011
8101,1009,1010
8153,1009,1011
8203,1009,1011
8254,1010,1011
8304,1009,1011
8355,1009,1011
8406,1009,1010
8456,1010,1011
8507,1009,1011
8557,1009,1011
8608,1009,1011
8658,1009,1011
8710,1010,1011
8760,1010,1011
8811,1009,1011
8861,1009,1011
8912,1010,1011
8963,1009,1012
9014,1009,1012
9064,1010,1011
9114,1009,1011
9165,1009,1011
9216,1009,1011
9267,1010,1012
9317,1009,1011
9368,1010,1011
9418,1009,1012
9469,1009,1012
9520,1009,1011
9571,1009,1011
9621,1009,1012
9671,1009,1011
9722,1009,1011
9773,1009,1012
9824,1009,1011
9874,1010,1011
9925,1009,1012
9975,1009,1011
10027,1010,1011
10077,1009,1010
10128,1009,1012
10178,1010,1011
10229,1010,1012
10279,1010,1011
10330,1009,1011
10381,1009,1011
10431,1009,1011
10482,1009,1012
10532,1008,1011
10584,1009,1011
10634,1009,1011
10685,1009,1011
10735,1009,1011
10786,1009,1011
10836,1009,1011
10888,1009,1011
10938,1008,1012
10989,1010,1012
11039,1009,1011
11090,1009,1011
11141,1010,1011
11192,1009,1011
11242,1009,1011
11292,1009,1011
11343,1009,1011
11394,1009,1011
11445,1009,1011
11495,1009,1011
11546,1010,1011
11596,1008,1011
11648,1010,1011
11698,1009,1011
11749,1009,1011
11799,1009,1011
11850,1009,1011
11900,1010,1012
11952,1009,1011
12002,1009,1010
12053,1009,1011
12103,1009,1011
12153,1010,1011
12205,1009,1011
12255,1009,1011
12306,1009,1011
12356,1010,1011
12407,1009,1011
12457,1009,1011
12509,1009,1011
12559,1009,1011
12610,1009,1011
12660,1009,1011
12711,1009,1011
12762,1009,1011
12813,1009,1011
12863,1010,1011
12914,1009,1011
12964,1009,1011
13016,1010,1011
13066,1009,1011
13116,1008,1011
13167,1009,1011
13217,1009,1012
13268,1009,1011
13319,1009,1011
13370,1009,1011
13420,1009,1012
13471,1009,1011
13521,1009,1011
13573,1008,1012
13623,1009,1011
13674,1009,1011
13724,1009,1011
13775,1009,1010
13826,1008,1012
13877,1009,1010
13927,1008,1011
13977,1009,1011
14028,1009,1011
14078,1009,1010
14130,1009,1011
14180,1009,1011
14231,1008,1011
14281,1009,1011
14332,1009,1011
14383,1009,1011
14434,1010,1011
14484,1009,1011
14535,1008,1011
14585,1009,1011
14637,1009,1011
14687,1009,1011
14738,1009,1011
14788,1009,1011
14839,1009,1011
14889,1009,1010
14940,1009,1011
14991,1009,1011
15041,1009,1011
15092,1009,1010
15142,1009,1011
15194,1009,1011
15244,1009,1011
15295,1008,1011
15345,1008,1010
15396,1009,1010
15447,1008,1010
15498,1008,1011
15548,1008,1011
15599,1009,1011
15649,1008,1011
15700,1009,1010
15751,1009,1010
15801,1009,1011
15852,1009,1011
15902,1009,1011
15953,1008,1010
16004,1009,1011
16055,1008,1011
16105,1009,1011
16156,1009,1011
16206,1008,1010
16258,1008,1011
16308,1009,1011
16359,1009,1011
16409,1008,1011
16460,1008,1011
16510,1009,1011
16562,1009,1011
16612,1008,1011
16663,1008,1010
16713,1009,1011
16763,1009,1011
16815,1008,1011
16865,1009,1011
16916,1008,1011
16966,1008,1011
17017,1009,1011

17068,1009,1010
17119,1008,1010
17169,1009,1011
17220,1008,1011
17270,1008,1010
17321,1009,1010
17372,1008,1011
17423,1009,1011
17473,1009,1011
17524,1009,1010
17574,1008,1011
17625,1009,1011
17676,1009,1010
17726,1008,1011
17777,1009,1010
17827,1008,1010
17879,1009,1011
17929,1008,1011
17980,1008,1010
18030,1009,1011
18081,1009,1010
18131,1009,1011
18183,1009,1011
18233,1009,1010
18284,1008,1011
18334,1009,1010
18385,1008,1010
18436,1008,1010
18486,1008,1010
18537,1009,1010
18587,1009,1011
18638,1009,1011
18689,1008,1010
18740,1009,1010
18790,1008,1010
18841,1008,1011
18891,1009,1011
18942,1009,1010
18993,1008,1011
19044,1008,1011
19094,1008,1010
19145,1009,1010
19195,1009,1011
19247,1010,1010
19297,1008,1010
19348,1009,1011
19398,1009,1011
19448,1009,1011
19500,1008,1010
19550,1009,1011
19601,1009,1010
19651,1008,1010
19702,1009,1011
19752,1009,1010
19804,1008,1011
19854,1009,1011
19905,1008,1010
19955,1008,1010
20006,1008,1010
20057,1009,1011
20108,1009,1011
20158,1008,1010
20209,1008,1010
20259,1008,1011
20310,1008,1011
20361,1009,1011
20411,1009,1011
20462,1009,1011
20512,1008,1011
20563,1008,1011
20614,1009,1011
20665,1009,1011
20715,1009,1011
20766,1009,1010
20816,1008,1011
20868,1009,1011
20918,1008,1010
20969,1009,1010
21019,1008,1011
21070,1008,1012
21121,1009,1010
21172,1008,1011
21222,1008,1011
21272,1008,1010
21323,1009,1011
21373,1009,1011
21425,1008,1011
21475,1008,1011
21526,1009,1010
21576,1008,1011
21627,1008,1010
21678,1008,1010
21729,1008,1011
21779,1009,1011
21830,1008,1010
21880,1009,1011
21932,1008,1010
21982,1009,1011
22033,1009,1011
22083,1009,1011
22133,1009,1011
22184,1009,1011
22235,1008,1010
22286,1009,1011
22336,1008,1010
22387,1009,1010
22437,1008,1011
22489,1009,1011
22539,1009,1011
22590,1009,1010
22640,1008,1011
22691,1008,1010

22742,1009,1010
22793,1008,1010
22843,1008,1011
22894,1008,1010
22944,1009,1010
22995,1009,1010
23046,1008,1010
23096,1009,1010
23147,1009,1010
23197,1008,1011
23248,1008,1011
23299,1009,1012
23350,1008,1010
23400,1008,1011
23451,1009,1011
23501,1008,1011
23553,1009,1010
23603,1008,1011
23654,1008,1011
23704,1008,1010
23755,1009,1010
23805,1008,1011
23857,1008,1011
23907,1008,1011
23957,1009,1011
24008,1009,1010
24058,1009,1011
24110,1008,1011
24160,1009,1012
24211,1009,1010
24261,1009,1010
24312,1008,1010
24363,1008,1011
24414,1009,1011
24464,1009,1011
24515,1009,1011
24565,1008,1010
24616,1009,1010
24667,1009,1010
24718,1008,1010
24768,1008,1010
24818,1008,1011
24869,1009,1010
24920,1009,1011
24971,1008,1012
25021,1009,1010
25072,1009,1011
25122,1008,1012
25174,1009,1011
25224,1008,1010
25275,1008,1010
25325,1008,1011
25376,1008,1011
25426,1009,1011
25478,1008,1012
25528,1008,1010
25579,1009,1010
25629,1008,1010
25680,1009,1012
25731,1009,1010
25781,1009,1011
25832,1008,1011
25882,1009,1011
25933,1008,1010
25984,1009,1011
26035,1008,1010
26085,1009,1011
26136,1008,1011
26186,1009,1010
26237,1008,1011
26288,1009,1010
26339,1008,1011
26389,1008,1011
26440,1009,1010
26490,1008,1011
26542,1008,1010
26592,1009,1011
26642,1008,1011
26693,1009,1011
26743,1008,1010
26795,1008,1011
26845,1008,1011
26896,1008,1011
26946,1008,1010
26997,1009,1011
27047,1009,1011
27099,1008,1011
27149,1008,1011
27200,1009,1011
27250,1008,1010
27301,1008,1011
27352,1009,1011
27403,1008,1011
27453,1009,1010
27504,1009,1010
27554,1009,1011
27604,1009,1011
27656,1009,1012
27706,1008,1011
27757,1009,1012
27807,1008,1011
27858,1008,1011
27909,1009,1010
27960,1008,1010
28010,1008,1010
28061,1009,1011
28111,1009,1011
28163,1009,1010
28213,1009,1010
28264,1008,1011
28314,1009,1010
28365,1008,1011
28416,1008,1011
28466,1008,1011
28517,1009,1011
28567,1009,1010
28618,1009,1010
28668,1008,1011
28720,1009,1010
28770,1008,1011
28821,1009,1010
28871,1009,1010
28922,1008,1011
28973,1009,1012
29024,1008,1011
29074,1009,1011
29125,1009,1010
29175,1008,1011
29227,1009,1010
29277,1008,1010
29327,1009,1010
29378,1009,1010
29428,1009,1010
29479,1009,1011
29530,1008,1011
29581,1009,1010
29631,1009,1010
29682,1009,1010
29732,1009,1010
29784,1009,1010
29834,1009,1010
29885,1008,1011
29935,1008,1010
29986,1009,1011
30036,1008,1010
30088,1009,1011
30138,1009,1010
30189,1009,1011
30239,1009,1010
30289,1009,1010
30341,1008,1011
30391,1009,1010
30442,1008,1011
30492,1009,1010
30543,1009,1010
30594,1008,1011
30645,1008,1011
30695,1009,1011
30746,1009,1011
30796,1009,1011
30848,1009,1010
30898,1009,1011
30949,1009,1010
30999,1008,1011
31050,1009,1010
31100,1008,1011
31151,1009,1010
31202,1008,1011
31252,1008,1011
31303,1008,1011
31353,1008,1011
31405,1009,1011
31455,1008,1010
31506,1009,1011
31556,1009,1011
31607,1009,1011
31657,1009,1012
31709,1009,1010
31759,1009,1011
31810,1009,1011
31860,1009,1010
31911,1009,1011
31962,1009,1011

32013,1008,1011
32063,1008,1010
32113,1009,1011
32164,1009,1011
32215,1009,1011
32266,1009,1011
32316,1008,1011
32367,1009,1010
32417,1009,1011
32468,1009,1010
32519,1008,1010
32570,1008,1011
32620,1009,1011
32671,1009,1010
32721,1009,1011
32773,1008,1011
32823,1009,1011
32874,1009,1010
32924,1008,1011
32975,1008,1011
33026,1008,1011
33076,1009,1011
33127,1009,1010
33177,1008,1011
33228,1009,1011
33278,1009,1011
33330,1009,1010
33380,1009,1011
33431,1009,1011
33481,1009,1010
33532,1008,1011
33583,1009,1010
33634,1009,1010
33684,1009,1011
33735,1009,1010
33785,1009,1010
33837,1009,1010
33887,1009,1010
33937,1009,1010
33988,1009,1011
34038,1008,1011
34089,1009,1010
34140,1008,1011
34191,1009,1010
34241,1009,1011
34292,1009,1010
34342,1008,1011
34394,1009,1010
34444,1008,1010
34495,1008,1011
34545,1009,1010
34596,1009,1010
34647,1009,1010
34698,1009,1010
34748,1008,1012
34799,1009,1010
34849,1008,1011
34899,1008,1011
34951,1008,1011
35001,1009,1011
35052,1009,1011
35102,1009,1010
35153,1009,1011
35204,1009,1010
35255,1008,1010
35305,1009,1011
35356,1008,1011
35406,1008,1011
35458,1008,1011
35508,1009,1011
35559,1009,1011
35609,1009,1011
35660,1009,1011
35710,1009,1011
35761,1008,1011
35812,1008,1011
35862,1009,1011
35913,1009,1010
35963,1009,1011
36015,1008,1011
36065,1009,1011
36116,1009,1011
36166,1009,1011
36217,1009,1011
36268,1009,1011
36319,1008,1011
36369,1009,1011
36420,1008,1011
36470,1009,1011
36521,1009,1010
36572,1008,1010
36623,1009,1011
36673,1009,1011
36723,1009,1011
36774,1009,1011
36825,1009,1011
36876,1009,1011
36926,1009,1011
36977,1008,1011
37027,1009,1011
37079,1009,1011
37129,1009,1011
37180,1009,1010
37230,1009,1011
37281,1009,1011
37331,1009,1011
37383,1009,1011
37433,1009,1011
37484,1009,1011
37534,1009,1011
37584,1008,1011
37636,1008,1010

37686,1009,1011
37737,1009,1011
37787,1009,1011
37838,1008,1011
37889,1009,1011
37940,1009,1011
37990,1009,1011
38041,1008,1011
38091,1009,1011
38142,1009,1011
38193,1008,1011
38244,1008,1011
38294,1009,1011
38345,1009,1011
38395,1009,1011
38447,1009,1010
38497,1008,1011
38547,1009,1011
38598,1008,1011
38648,1009,1011
38700,1009,1011
38750,1009,1011
38801,1008,1011
38851,1009,1011
38902,1009,1011
38952,1009,1011
39004,1009,1011
39054,1009,1011
39105,1008,1011
39155,1009,1011
39206,1009,1011
39257,1009,1011
39308,1010,1011
39358,1010,1011
39408,1009,1011
39459,1009,1011
39510,1009,1012
39561,1009,1012
39611,1009,1011
39662,1009,1011
39712,1009,1011
39763,1009,1011
39814,1009,1011
39865,1010,1011
39915,1009,1011
39966,1009,1011
40016,1008,1011
40068,1008,1011
40118,1009,1011
40169,1009,1011
40219,1010,1011
40270,1009,1011
40321,1009,1011
40371,1009,1011
40422,1009,1011
40472,1009,1011
40523,1009,1011
40573,1009,1011
40625,1010,1012
40675,1010,1011
40726,1009,1011
40776,1009,1012
40827,1010,1012
40878,1009,1011
40929,1009,1011
40979,1009,1011
41030,1008,1011
41080,1010,1012
41132,1009,1011
41182,1009,1010
41232,1009,1011
41283,1009,1011
41333,1009,1011
41384,1009,1012
41435,1008,1011
41486,1009,1011
41536,1009,1011
41587,1009,1011
41637,1009,1011
41689,1009,1011
41739,1009,1011
41790,1010,1011
41840,1008,1011
41891,1009,1011
41942,1009,1011
41993,1010,1011
42043,1008,1011
42093,1009,1011
42144,1009,1011
42194,1009,1011
42246,1009,1011
42296,1009,1011
42347,1009,1011
42397,1009,1011
42448,1010,1011
42499,1009,1011
42550,1009,1011
42600,1009,1011
42651,1009,1010
42701,1009,1011
42753,1009,1011
42803,1009,1011
42854,1009,1011
42904,1009,1011
42955,1010,1012
43005,1009,1011
43056,1010,1011
43107,1010,1012
43157,1010,1011
43208,1009,1011
43258,1009,1011
43310,1009,1011
43360,1010,1011
43411,1009,1011
43461,1009,1011
43512,1009,1011
43563,1010,1011
43614,1009,1011
43664,1009,1011
43715,1009,1011
43765,1009,1011
43816,1008,1011
43867,1009,1011
43917,1009,1011
43968,1009,1011
44018,1009,1011
44069,1010,1011
44120,1009,1011
44171,1009,1011
44221,1009,1011
44272,1009,1012
44322,1009,1011
44374,1009,1011
44424,1009,1011
44475,1009,1011
44525,1009,1011
44576,1009,1011
44626,1009,1012
44678,1009,1011
44728,1009,1011
44779,1009,1011
44829,1009,1011
44879,1009,1011
44931,1009,1011
44981,1009,1012
45032,1009,1012
45082,1009,1011
45133,1009,1012
45184,1009,1011
45235,1009,1011
45285,1009,1012
45336,1009,1011
45386,1009,1011
45437,1009,1010
45488,1010,1012
45539,1009,1011
45589,1009,1011
45640,1009,1011
45690,1010,1012
45742,1009,1011
45792,1009,1011
45842,1009,1011
45893,1009,1011
45943,1009,1011
45995,1010,1011
46045,1010,1010
46096,1010,1011
46146,1010,1011
46197,1009,1012
46247,1008,1011
46299,1009,1011
46349,1009,1011
46400,1009,1011
46450,1009,1011
46501,1010,1011
46552,1010,1011
46603,1009,1011
46653,1009,1011
46703,1009,1011
46754,1008,1011
46804,1009,1012
46856,1009,1011
46906,1009,1011

46957,1009,1011
47007,1010,1012
47058,1009,1011
47109,1009,1011
47160,1009,1011
47210,1009,1011
47261,1009,1011
47311,1009,1011
47363,1009,1011
47413,1010,1011
47464,1009,1011
47514,1008,1011
47565,1009,1011
47616,1008,1012
47666,1009,1011
47717,1009,1012
47767,1009,1011
47818,1008,1010
47868,1009,1011
47920,1010,1011
47970,1009,1011
48021,1009,1010
48071,1010,1012
48122,1009,1012
48173,1008,1011
48224,1009,1011
48274,1009,1012
48325,1009,1011
48375,1008,1011
48427,1009,1011
48477,1010,1011
48527,1009,1012
48578,1009,1011
48628,1010,1010
48679,1009,1012
48730,1009,1012
48781,1009,1012
48831,1009,1011
48882,1009,1011
48932,1009,1011
48984,1010,1011
49034,1009,1011
49085,1009,1011
49135,1009,1011
49186,1009,1011
49236,1010,1011
49288,1009,1011
49338,1009,1011
49389,1008,1012
49439,1010,1011
49489,1008,1011
49541,1009,1011
49591,1009,1011
49642,1009,1011
49692,1009,1012
49743,1009,1011
49794,1009,1011
49845,1009,1011
49895,1009,1011
49946,1009,1012
49996,1008,1011
50048,1009,1011
50098,1009,1011
50149,1009,1011
50199,1009,1011
50250,1009,1011
50300,1009,1011
50351,1010,1011
50402,1010,1011
50452,1009,1012
50503,1009,1011
50553,1009,1011
50605,1008,1011
50655,1009,1011
50706,1009,1011
50756,1009,1011
50807,1009,1012
50857,1010,1012
50909,1008,1011
50959,1009,1011
51010,1009,1011
51060,1009,1011
51111,1009,1011
51162,1009,1012
51213,1009,1011
51263,1009,1011
51313,1009,1011
51364,1010,1012
51415,1009,1011
51466,1010,1012
51516,1009,1011
51567,1009,1011
51617,1009,1011
51668,1009,1011
51719,1009,1011
51770,1009,1011
51820,1009,1011
51871,1010,1011
51921,1010,1012
51973,1009,1011
52023,1009,1012
52074,1010,1011
52124,1009,1011
52174,1009,1011
52226,1010,1011
52276,1009,1011
52327,1009,1011
52377,1009,1011
52428,1009,1011
52478,1009,1011
52530,1009,1011
52580,1009,1010
52631,1009,1011
52681,1010,1011
52732,1009,1011
52783,1009,1010
52834,1009,1011
52884,1010,1011
52935,1010,1011
52985,1009,1011
53037,1009,1011
53087,1009,1011
53137,1009,1011
53188,1009,1010
53238,1009,1012
53289,1010,1012
53340,1009,1011
53391,1008,1011
53441,1009,1011
53492,1010,1012
53542,1009,1011
53594,1010,1011
53644,1009,1012
53695,1009,1011
53745,1009,1011
53796,1009,1011
53847,1009,1011
53898,1010,1011
53948,1009,1011
53998,1009,1011
54049,1010,1011
54099,1009,1011
54151,1009,1011
54201,1009,1011
54252,1010,1011
54302,1009,1011
54353,1009,1011
54404,1009,1012
54455,1009,1011
54505,1009,1011
54556,1008,1011
54606,1009,1011
54658,1009,1011
54708,1010,1011
54759,1009,1011
54809,1009,1011
54860,1009,1012
54910,1009,1011
54961,1009,1011
55012,1010,1011
55062,1009,1011
55113,1009,1011
55163,1009,1011
55215,1009,1011
55265,1009,1011
55316,1010,1011
55366,1009,1011
55417,1009,1011
55468,1009,1011
55519,1009,1011
55569,1009,1011
55620,1010,1011
55670,1009,1011
55721,1010,1011
55772,1009,1011
55822,1009,1011
55873,1009,1011
55923,1009,1011
55974,1009,1011
56025,1008,1011
56076,1009,1011
56126,1009,1011
56177,1009,1011
56227,1009,1011
56279,1009,1011
56329,1009,1010
56380,1009,1011
56430,1009,1011
56481,1009,1011
56531,1009,1011
56583,1009,1011
56633,1009,1011
56684,1009,1011
56734,1009,1011
56784,1009,1011
56836,1009,1011
56886,1009,1011
56937,1009,1011
56987,1009,1012
57038,1009,1012
57089,1010,1011
57140,1009,1011
57190,1009,1011
57241,1009,1011
57291,1009,1011
57342,1009,1011
57393,1009,1011
57444,1009,1011
57494,1009,1011
57545,1010,1011
57595,1009,1011
57646,1009,1011
57697,1009,1011
57747,1009,1011
57798,1009,1011
57848,1009,1011
57900,1009,1010
57950,1009,1011
58001,1009,1011
58051,1010,1011
58102,1009,1011
58152,1009,1011
58204,1009,1011
58254,1009,1011
58305,1009,1011
58355,1010,1012
58406,1009,1011
58457,1008,1010
58508,1009,1011
58558,1009,1011
58608,1009,1011
58659,1008,1010
58710,1009,1011
58761,1009,1011
58811,1009,1011
58862,1008,1011
58912,1009,1011
58963,1010,1011
59014,1009,1011
59065,1009,1011
59115,1009,1011
59166,1009,1011
59216,1009,1011
59268,1009,1011
59318,1009,1011
59369,1009,1011
59419,1009,1010
59469,1009,1011
59521,1009,1011
59571,1010,1011
59622,1009,1011
59672,1009,1011
59723,1010,1011
59773,1009,1011
59825,1009,1010
59875,1009,1011
59926,1009,1011
59976,1009,1011
60027,1009,1011
60027,Acabou,Acabou